SIGLA_INSTITUICAO;NOME_UNIDADE_ENSINO;ANO;SIGLA_UF_UNIDADE_ENSINO;NOME_MUNICIPIO_UNIDADE_ENSINO
IFAC;Campus Cruzeiro do Sul;2011;AC;Cruzeiro do Sul
IFAC;Campus Rio Branco;2011;AC;Rio Branco
IFAC;Campus Avançado Rio Branco Baixada do Sol;2014;AC;Rio Branco
IFAC;Campus Sena Madureira;2011;AC;Sena Madureira
IFAC;Campus Tarauac ;2013;AC;Tarauac 
IFAC;Campus Xapuri;2010;AC;Xapuri
IFAL;Campus Arapiraca;2011;AL;Arapiraca
IFAL;Campus Batalha;2014;AL;Batalha
IFAL;Campus Coruripe;2014;AL;Coruripe
IFAL;Campus Maceió;1909;AL;Maceió
UFAL;Escola Técnica de Artes;2006;AL;Maceió
IFAL;Campus Avançado Maceió Benedito Bentes;2016;AL;Maceió
IFAL;Campus Maragogi;2011;AL;Maragogi
IFAL;Campus Marechal Deodoro;1993;AL;Marechal Deodoro
IFAL;Campus Murici;2011;AL;Murici
IFAL;Campus Palmeira dos Índios;1993;AL;Palmeira dos Índios
IFAL;Campus Penedo;2011;AL;Penedo
IFAL;Campus Piranhas;2011;AL;Piranhas
IFAL;Campus Rio Largo;2014;AL;Rio Largo
IFAL;Campus Santana do Ipanema;2013;AL;Santana do Ipanema
IFAL;Campus São Miguel dos Campos;2013;AL;São Miguel dos Campos
IFAL;Campus Satuba;1911;AL;Satuba
IFAL;Campus Viçosa;2014;AL;Viçosa
IFAM;Campus Coari;2007;AM;Coari
IFAM;Campus Eirunepé;2015;AM;Eirunepé
IFAM;Campus Humaitá;2013;AM;Humaitá
IFAM;Campus Itacoatiara;2015;AM;Itacoatiara
IFAM;Campus Lábrea;2010;AM;Lábrea
IFAM;Campus Avançado Manacapuru;2014;AM;Manacapuru
IFAM;Campus Manaus Centro;1909;AM;Manaus
IFAM;Campus Manaus Zona Leste;1940;AM;Manaus
IFAM;Campus Manaus Distrito Industrial;1992;AM;Manaus
IFAM;Campus Maués;2010;AM;Maués
IFAM;Campus Parintins;2010;AM;Parintins
IFAM;Campus Presidente Figueiredo;2010;AM;Presidente Figueiredo
IFAM;Campus São Gabriel da Cachoeira;1993;AM;São Gabriel da Cachoeira
IFAM;Campus Tabatinga;2010;AM;Tabatinga
IFAM;Campus Tefé;2015;AM;Tefé
IFAM;Campus Avançado Iranduba;2018;AM;Iranduba
IFAM;Campus Avançado Boca do Acre;2018;AM;Boca do Acre
